,Unnamed: 0,Datetime,Text,Username,lang,Subjectivity,Polarity,Target
0,0,2021-05-30 23:59:52+00:00,i am vaccinated i have had cancer twice my lungs are compromised due to the high dose chemo and radiation so yes i still wear a mask the vaccine does not cure i have kids i didnt survive cancer twice to die from covid unfortunately there are people who dont vaccinate ,jeleblanc15,en,0.6383333333333333,-0.155,-1
1,1,2021-05-30 23:59:46+00:00,pastor rick wiles apparently has covid after refusing vaccines he called global genocide httpstcoseepz46cu4 ,ADAMXMAN,en,0.175,0.025,1
2,2,2021-05-30 23:59:45+00:00,on may 18 the federal department of health quietly extended a tender for the provision of covi19 vaccine administration for residential agedcare providers ,DuskaSulicich,en,0.3333333333333333,0.0,0
3,3,2021-05-30 23:59:45+00:00,yeah i mean its not like states are losing their minds trying to bribe people to get an experimental vaccine or anything the covid narrative is falling apart and yet these nutters hold on even tighter to their idols ,BidensFineChina,en,0.54375,-0.10625,-1
4,4,2021-05-30 23:59:31+00:00,health experts urge caution on giving covid vaccines to uk children httpstcovkyouijfoh ,twenty2welve,en,0.0,0.0,0
5,5,2021-05-30 23:59:08+00:00,cbs news companies can make employees take covi19 vaccine eeoc sayshttpstcocwid4mlbmx ,validosius,en,0.0,0.0,0
6,6,2021-05-30 23:59:04+00:00,same outbreak that leaked from a sa hotel this is a national situation that needs leadership sadly the federal government has failed where are the quarantine facilities why is the vaccine supply so slow why dont they have a covid disaster payment ,Kazz201,en,0.45625,-0.325,-1
7,7,2021-05-30 23:58:47+00:00,pretty sure thats only because the pathetic bed wetters are scared of getting covid and some of the fktards may have actually realized that vaccine s better than dyingpathetic australians ,andrew236331,en,0.7481481481481481,0.041666666666666664,1
8,8,2021-05-30 23:58:37+00:00,even that is flawed lets reach heard immunity by getting as many people affected with covid with the hopes that unproven treatments save them the risks of the vaccines look even better in that case even the blood clot risk of the astrazeneca ,OlliesLoopLites,en,0.5,0.16666666666666666,1
9,9,2021-05-30 23:58:33+00:00,hi mick there are different levels of eligibility seperate to age we recommend that you give the national coronavirus and covi19 vaccine helpline a call on 1800 020 080 for further clarification ,ServiceNSW,en,0.55,0.0,0
